year,std,stream.yel,swe.yel,tmax.lsum
1314,1.174,142.1629528,40.411,1.63
1315,1.006,154.4494747,62.195,0.43
1316,1.023,90.94659324,57.732,1.48
1317,0.612,35.79203863,76.572,0.54
1318,0.5,111.1185167,56.135,0.21
1319,1.079,76.87523131,51.577,0.99
1320,0.927,83.32713224,41.024,1.25
1321,0.896,94.79521928,57.637,-2.71
1322,1.035,107.5935992,22.897,-0.02
1323,0.719,103.940891,70.682,-0.06
1324,0.771,57.38342096,51.893,-0.28
1325,1.13,126.1207183,33.18,1.07
1326,0.946,195.3378645,43.85,-0.39
1327,0.858,89.28663084,64.859,0.39
1328,1.15,91.57700491,43.657,0.88
1329,0.85,101.3412917,41.475,-3.31
1330,0.869,139.2471886,73.567,-2.53
1331,1.191,189.5773445,30.714,-1.67
1332,1.408,165.1149645,53.894,-0.54
1333,1.486,145.1397717,24.234,-1.1
1334,1.311,81.24309047,64.525,-0.62
1335,1.279,121.8390308,46.133,-1.22
1336,1.149,77.23007125,75.193,0.8
1337,0.737,60.50432713,61.92,0.88
1338,1.094,146.820411,52.141,-0.24
1339,1.026,118.7917925,40.531,0.43
1340,1.099,104.1804995,54.567,1.48
1341,1.045,119.8909594,49.879,-1.4
1342,0.934,92.4243565,57.683,-1.18
1343,1.237,124.9644366,40.184,-0.28
1344,1.035,73.75414546,77.486,0.69
1345,1.139,145.4743534,40.532,-0.66
1346,0.99,106.1173596,50.79,-0.28
1347,1.31,132.9800327,50.242,-1.55
1348,0.847,76.69842318,74.722,0.17
1349,0.907,115.5543863,54.505,-1.52
1350,1.244,72.4079806,42.421,-0.06
1351,1.301,110.3535822,54.523,-1.48
1352,0.674,81.43037514,51.307,0.88
1353,1.131,85.07195936,56.204,-0.51
1354,0.679,89.9055362,61.027,-0.02
1355,0.866,104.4206604,53.886,0.43
1356,0.837,133.9018063,44.109,0.84
1357,0.899,129.3559577,69.891,-0.43
1358,0.848,119.8909594,52.436,0.73
1359,0.981,83.90472832,54.258,-2.23
1360,1.15,71.90952757,60.101,0.84
1361,1.318,51.37909326,51.548,-0.06
1362,1.069,130.2526103,58.851,0.32
1363,0.879,79.76023695,61.662,-0.95
1364,0.946,123.5339805,59.811,0.24
1365,0.898,125.5412462,58.367,0.69
1366,0.796,99.26278033,65.761,-1.96
1367,0.793,131.1554783,55.438,0.28
1368,1.006,98.12652868,32.591,0.32
1369,0.985,56.72655837,64.291,-2.75
1370,1.07,107.5935992,34.504,0.28
1371,0.909,113.4452811,54.079,-0.36
1372,0.962,92.85096795,54.396,0.62
1373,1.24,83.13548515,52.101,-0.8
1374,1.029,97.45103041,49.559,-0.99
1375,1.413,70.27266688,54.262,0.28
1376,1.102,101.5749075,66.365,-3.24
1377,1.152,116.8924431,46.182,0.09
1378,1.033,120.7220038,58.224,0.09
1379,1,89.08127729,51.402,1.03
1380,0.884,63.50185844,75.761,0.51
1381,0.989,79.21117135,54.383,1.07
1382,0.776,74.43658417,72.944,-0.24
1383,0.834,173.2951609,64.493,-2.26
1384,1.001,205.487986,43.922,-0.21
1385,1.026,155.5200673,46.71,0.09
1386,0.921,146.820411,48.164,-0.13
1387,1.039,89.6987592,57.206,0.13
1388,0.815,102.2789911,65.084,0.39
1389,0.787,108.8394743,47.984,-1.89
1390,1.162,145.1397717,58.255,-0.02
1391,1.245,98.35273369,23.284,-0.21
1392,0.879,120.7220038,63.423,0.47
1393,0.71,82.18384112,61.866,-0.84
1394,1.307,147.158867,34.28,-0.02
1395,1.021,117.161908,49.119,-0.95
1396,0.928,75.1253374,48.186,0.17
1397,1.188,79.94410329,44.637,0.54
